mail1@maildomain.dk;Sverre Test;Mosebryggersen;M;19900401;København K;Sludevej 42;1360;frihjul;mtb;20220504
mail2@maildomain.dk;Torre Test;Mosebryggersen;M;19900401;Grindsted;Fynshovedvej 8;7200;sortsol;10km;20220522
mail3@maildomain.dk;Max Test;Berggren;M;19720701;Nørre Asmidrup;Præstegade 30;4572;sortsol;5km;20220522
mail4@maildomain.dk;Schwendlund Test;Mosebryggersen;M;19580801;København V;Bygmestervej 81;1592;;;
mail5@maildomain.dk;May June Test;Moberg;K;19620801;København K;Nørrebrovænget 85;1101;frihjul;mtb;20220504
mail6@maildomain.dk;Einer Test;Lauridsen;M;19600102;Sommersted;Revninge Bygade 88;6560;frihjul;mtb;20220504
mail7@maildomain.dk;Lonni Test;Lauridsen ;K;19600102;Hemmet;Gammel Byvej 74;6893;frihjul;mtb;20220504
mail8@maildomain.dk;Else Test;Lauridsen;K;19910102;Rungsyed Kyst;Muusgården 80;2960;frihjul;mtb;20220504
mail9@maildomain.dk;EK Test;Lauridsen;M;19910102;Løkken;Magrethes Plads 55;9480;frihjul;mtb;20220504
mail10@maildomain.dk;Ellen Louise Test;Lauridsen;K;19910102;Frederiksberg C;Klintevej 64;1967;frihjul;mtb;20220504
mail11@maildomain.dk;Åge Test;Berggren;M;19221102;København K;Holmevej 86;1419;frihjul;mtb;20220504
mail12@maildomain.dk;Bo Test;Vestergaard;M;20151202;Fårup;Byvej 18;8990;frihjul;mtb;20220504
mail13@maildomain.dk;Rasmus Test;Lauridsen;M;19900405;København V;Hindsholmvej 54;8752;frihjul;mtb;20220504
mail14@maildomain.dk;Magnus Test;Lauridsen;M;19900405;København K;Sludevej 92;1360;frihjul;mtb;20220504
mail15@maildomain.dk;Pia Test;Berggren;K;20050505;Årre;Gasværksvej 56;6818;frihjul;mtb;20220504
mail16@maildomain.dk;Gitte Nancy Test;Berggren;K;20100505;Dyssegård;Jomfrustien 32;2870;frihjul;mtb;20220504
mail17@maildomain.dk;Lars Test;Berggren;M;20150505;Rødekro;Kamperhoug 33;6230;frihjul;mtb;20220504
mail18@maildomain.dk;Rikke Test;Berggren;K;20200505;København K;Håndværkervej 36;1473;;;
mail19@maildomain.dk;Sille June Test;Mosebrygersen;K;19880605;Haarby;Algade 69;4200;;;
mail20@maildomain.dk;Muhammed Test;Abdul;M;20050710;Frederiksberg C;Nyborgvej 5;1826;;;
mail21@maildomain.dk;Juliane Test;Jørgensen;K;20101011;Frederiksberg C;Lundbjergsvej 62;1921;;;
mail22@maildomain.dk;Ruddi Test;Berggren;M;19770215;Gudhjem;Fynshovedvej 69;3760;;;
mail23@maildomain.dk;Odd Haugen Test;Mosebryggersen;M;19790215;Ryslinge;Muusgården 24;5856;;;
mail24@maildomain.dk;Knut Odvar Test;Mosebryggersen;M;19820215;København K;Holmevej 18;1420;;;
mail25@maildomain.dk;Brita Test;Berggren;K;19810915;Nørreballe;Præstegade 98;4951;sortsol;10km;20220522
mail26@maildomain.dk;Kaja Test;Hansen;K;20000321;Gandrup;Lykkesholmvej 37;9362;sortsol;10km;20220522
mail27@maildomain.dk;Oscar Test;Vestergård;M;19141123;Tjele;Langeskov-Centret 70;8830;sortsol;10km;20220522
mail28@maildomain.dk;Bruno Test;Elmer;M;19470925;Fejø;Byvej 89;4944;sortsol;10km;20220522
mail29@maildomain.dk;Nancy Ann Test;Berggren;K;19481225;København K;Skolegyden 29;1014;sortsol;10km;20220522
mail30@maildomain.dk;Kirsten Test;Berggren;K;19821129;København K;Søndervænget 16;1157;sortsol;5km;20220522
mail31@maildomain.dk;Niels Test;Vendelboe;M;19740130;København K;Andekæret 49;1667;sortsol;5km;20220522
mail32@maildomain.dk;Anders Test;Jensen;M;19970331;Vemb;Clematisvænget 86;7570;sortsol;5km;20220522
